Date,Country,Geography,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,SCALAR_FACTOR,Value
2014-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3254.5
2014-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3257.7
2014-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3260.6
2014-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3263.0
2015-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3265.5
2015-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3269.1
2015-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3273.2
2015-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3277.5
2015-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3281.2
2015-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3285.3
2015-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3288.1
2015-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3290.0
2015-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3293.0
2015-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3295.1
2015-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3296.9
2015-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3298.9
2016-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3301.4
2016-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3304.6
2016-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3307.0
2016-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3309.2
2016-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3312.5
2016-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3315.4
2016-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3318.5
2016-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3321.3
2016-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3323.5
2016-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3325.4
2016-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3327.4
2016-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3329.3
2017-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3332.7
2017-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3335.7
2017-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3339.0
2017-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3341.9
2017-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3345.2
2017-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3348.2
2017-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3351.8
2017-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3356.2
2017-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3359.1
2017-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3362.3
2017-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3365.3
2017-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3368.5
2018-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3373.1
2018-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3376.7
2018-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3381.1
2018-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3386.9
2018-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3391.2
2018-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3396.0
2018-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3401.8
2018-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3406.2
2018-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3410.5
2018-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3414.9
2018-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3419.2
2018-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3423.3
2019-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3428.4
2019-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3431.8
2019-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3435.9
2019-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3440.9
2019-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3445.5
2019-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3450.5
2019-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3456.8
2019-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3461.2
2019-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3468.0
2019-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3473.4
2019-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3478.1
2019-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3482.2
2020-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3487.0
2020-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3491.0
2020-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3495.8
2020-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3499.2
2020-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3502.1
2020-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3506.4
2020-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3509.1
2020-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3511.8
2020-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3515.4
2020-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3518.7
2020-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3522.0
2020-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3524.9
2021-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3527.7
2021-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3531.3
2021-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3533.5
2021-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3535.3
2021-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3536.3
2021-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3537.7
2021-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3540.8
2021-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3545.5
2021-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3550.2
2021-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3556.1
2021-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3562.1
2021-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3568.1
2013-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2281.5
2013-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2278.2
2013-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2278.4
2013-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2279.7
2013-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2305.2
2013-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2308.1
2013-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2305.9
2013-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2330.1
2013-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2315.9
2013-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2318.8
2013-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2331.9
2013-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2326.7
2014-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2323.5
2014-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2333.4
2014-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2338.7
2014-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2344.2
2014-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2342.9
2014-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2360.1
2014-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2352.1
2014-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2346.5
2014-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2346.0
2014-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2352.2
2014-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2355.1
2014-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2375.3
2015-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2375.4
2015-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2383.0
2015-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2383.9
2015-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2398.3
2015-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2399.8
2015-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2392.6
2015-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2397.7
2015-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2398.1
2015-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2410.2
2015-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2388.5
2015-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2391.1
2015-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2388.8
2016-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2389.0
2016-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2398.5
2016-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2390.8
2016-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2382.9
2016-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2375.6
2016-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2369.7
2016-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2386.4
2016-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2381.2
2016-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2404.0
2016-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2407.0
2016-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2412.7
2016-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2403.7
2017-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2413.8
2017-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2406.1
2017-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2421.9
2017-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2413.7
2017-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2417.7
2017-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2411.8
2017-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2410.3
2017-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2417.1
2017-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2401.8
2017-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2406.5
2017-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2405.6
2017-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2423.3
2018-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2420.9
2018-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2410.5
2018-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2416.1
2018-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2414.5
2018-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2416.0
2018-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2417.7
2018-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2427.0
2018-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2437.3
2018-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2440.4
2018-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2442.9
2018-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2445.1
2018-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2432.0
2019-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2441.5
2019-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2453.4
2019-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2435.3
2019-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2450.8
2019-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2443.4
2019-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2450.2
2019-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2455.4
2019-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2458.1
2019-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2443.5
2019-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2456.8
2019-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2453.3
2019-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2458.3
2020-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2450.5
2020-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2457.9
2020-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2374.0
2020-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2228.8
2020-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2309.8
2020-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2417.7
2020-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2427.2
2020-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2419.3
2020-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2455.3
2020-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2457.8
2020-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2448.6
2020-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2442.2
2021-01,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2453.4
2021-02,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2447.1
2021-03,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2447.1
2021-04,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2435.8
2021-05,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2423.3
2021-06,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2438.4
2021-07,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2443.1
2021-08,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2441.2
2021-09,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2476.0
2021-10,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2453.5
2021-11,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2468.9
2021-12,Canada,Alberta,Labour force,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2485.2
2013-01,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2176.1
2013-02,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2171.5
2013-03,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2169.9
2013-04,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2178.5
2013-05,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2199.9
2013-06,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2194.7
2013-07,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2202.3
2013-08,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2220.9
2013-09,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2215.5
2013-10,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2212.1
2013-11,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2219.3
2013-12,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2211.5
2014-01,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2214.7
2014-02,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2231.0
2014-03,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2221.1
2014-04,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2222.3
2014-05,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2229.4
2014-06,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2242.7
2014-07,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2245.9
2014-08,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2227.0
2014-09,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2237.6
2014-10,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2244.6
2014-11,Canada,Alberta,Employment,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,2252.3
